price,names
"₹2,853 night₹2,853 per night",DLF-5/ Horizon Center Posh home-25min Airport
"₹1,212 night₹1,212 per night",Homestay #2
"₹1,300 night₹1,300 per night",Private Room with Terrace at Bagichi House
"₹1,369 night₹1,369 per night",W BLOCK 2A/3
"₹1,084 night₹1,084 per night",Private furnished room with attached washroom
"₹1,598 night₹1,598 per night",Independent and relaxing studio apartment
"₹1,255 night₹1,255 per night",Reebah Inn & Suites - 5
"₹1,648 night₹1,648 per night",Studio Room with Balcony
"₹8,744 night₹8,744 per night",The Red Room home-stay with shoba in New Delhi
"₹1,655 night₹1,655 per night",Private room in central Gurgaon
"₹1,312 night₹1,312 per night",NUAB House-1B Fortis/MAX/Paras/Medanta/HUDA Metro
"₹1,369 night₹1,369 per night",Air Light Food Contemplation
"₹2,713 night₹2,713 per night",AviKan Luxury Homestay
"₹2,029 ₹1,849 night₹1,849 per night, originally ₹2,029",Luxury room for people on the go-No 1
"₹1,691 ₹1,541 night₹1,541 per night, originally ₹1,691",Traveler’s Room @ Artmosphere
"₹1,113 ₹913 night₹913 per night, originally ₹1,113",Serene Retreat: Room + Balcony
"₹2,254 ₹2,054 night₹2,054 per night, originally ₹2,254",Sunshine Deck - The Sun Room
"₹1,669 ₹1,369 night₹1,369 per night, originally ₹1,669",Your own little space : )
"₹1,084 night₹1,084 per night","En-Suite Double Room, Rose Residency, Sector 51"
"₹3,360 night₹3,360 per night",Tangerine 1 -  Studio Sec42
"₹2,310 night₹2,310 per night","Private Studio room,Gurugram"
"₹1,598 night₹1,598 per night",Independent and relaxing studio apartment
₹950 night₹950 per night,Private Room with balcony at Bagichi House
"₹1,751 night₹1,751 per night",DLF Studio Room with Balcony
"₹3,595 night₹3,595 per night",Independent beautiful room with private garden
"₹3,449 night₹3,449 per night",Private Studio apt w balcony near DLF Cyber City
"₹2,650 night₹2,650 per night","Green & central room,Golf course road,Gurgaon."
"₹1,221 night₹1,221 per night",1 private room near DLF & Galleria Market
"₹1,335 night₹1,335 per night",Bohemian Duplex Paris Room
"₹4,124 night₹4,124 per night",Sterling Studio Apartment @MG Road Gurugram
"₹1,420 ₹1,168 night₹1,168 per night, originally ₹1,420",Bright & convenient private room
"₹5,135 night₹5,135 per night",Lush Green Surrounded Apartment
"₹5,564 ₹4,564 night₹4,564 per night, originally ₹5,564","Pvt 3bed near Cyber Hub,Metro 1st Fl & Ambiance ML"
"₹1,369 night₹1,369 per night",Air Light Food Contemplation
"₹2,054 night₹2,054 per night",Chai Initiative; Safe & Charming Home - Girls Only
"₹1,780 ₹1,460 night₹1,460 per night, originally ₹1,780",Heart of Gurgaon.
"₹1,255 night₹1,255 per night",Reebah Inn & Suites - 7
"₹1,336 ₹1,096 night₹1,096 per night, originally ₹1,336",Private Room in a 3 BHK Bunglow.
"₹2,054 night₹2,054 per night",Chai Initiative; Safe & Charming Home - Girls Only
"₹1,369 night₹1,369 per night",Welcome 1bedroom with free Wi-Fi free parking
"₹1,312 night₹1,312 per night",NUAB House-1A Fortis/MAX/Paras/Medanta/HUDA Metro
"₹1,141 night₹1,141 per night",Olivia Residency
"₹1,689 night₹1,689 per night",Amahi Inn - Luxury
"₹1,255 night₹1,255 per night",Reebah Inn & Suites - 8
"₹3,595 night₹3,595 per night",Independent beautiful room with private garden
"₹3,081 night₹3,081 per night","Quiet, private space in DLF phase V, Gurgaon"
"₹1,278 night₹1,278 per night",Cozy Private Room in centre of Gurugram
"₹2,582 night₹2,582 per night",Divine India EsselTowerMGRoadGgn
"₹2,781 ₹2,281 night₹2,281 per night, originally ₹2,781",FlxHo Horizon 4 - Private Room @Golf Course Rd
"₹1,145 ₹886 night₹886 per night, originally ₹1,145",Lovely 1 Bedroom very specious room & free parking
"₹2,167 night₹2,167 per night",1 Room in a 3 BHK Flat
"₹2,282 night₹2,282 per night",Room near Cyber Hub 5 mins away
"₹1,883 night₹1,883 per night",CHILL OUT ZONE
"₹1,495 night₹1,495 per night",My Mom Paradise Near 32nd Avenue
"₹1,368 night₹1,368 per night",luxury Private Balcony Room@sector 57
"₹2,500 night₹2,500 per night",Tastefully done room near Huda City Centre
"₹2,310 night₹2,310 per night","Private Studio room,Gurugram"
"₹1,447 ₹1,187 night₹1,187 per night, originally ₹1,447",Cozy room for stay
"₹1,466 night₹1,466 per night",air light food comfort quiet center
"₹1,689 night₹1,689 per night",Amahi Inn - Luxury
"₹1,541 night₹1,541 per night",1 Bedroom in the heart of Gurgaon
"₹1,141 night₹1,141 per night",Olivia Residency
"₹2,511 night₹2,511 per night",Bright room in a tastefully designed villa
"₹6,599 ₹5,279 night₹5,279 per night, originally ₹6,599",2 BHK Serviced Apartment with Bathtub (Perch)
"₹1,700 night₹1,700 per night",GILMORE STAY'S | PRIVATE ROOM IN 4 BHK |
"₹3,449 night₹3,449 per night",Studio Apartment near to Galleria Market
"₹5,339 ₹4,508 night₹4,508 per night, originally ₹5,339",Independent 2 beautiful bedrooms & private garden
"₹2,550 night₹2,550 per night","Premium &  Peaceful Studio Room, Cybercity Gurgaon"
"₹1,495 night₹1,495 per night",My Mom Paradise Near 32nd Avenue
"₹3,179 ₹2,624 night₹2,624 per night, originally ₹3,179",FlxHo Horizon 2 - Superior Room @Golf Course Rd
"₹1,027 night₹1,027 per night",NINE 2 FIVE HOMES
"₹1,840 night₹1,840 per night",Rendezvous Point Gurgaon Delhi
"₹1,183 ₹1,078 night₹1,078 per night, originally ₹1,183",NINE2FIVE HOMES- PREMIUM LONG STAYS.
"₹2,293 night₹2,293 per night",Lovely 1 bed room unit with private balcony & bath
"₹1,850 night₹1,850 per night",Romantic stay and dinning at Gurgaon.
"₹1,141 night₹1,141 per night",Double bed AC room with private En-suite bathroom
"₹1,712 night₹1,712 per night",Golf Luxury BnB Sector 42
"₹1,227 night₹1,227 per night",Lovely 1 bedroom with free parking and workspace
"₹3,449 night₹3,449 per night",Studio Apartment near to Galleria Market
"₹2,781 ₹2,281 night₹2,281 per night, originally ₹2,781",FlxHo Horizon 5 - Private Room @Golf Course Rd
"₹2,124 night₹2,124 per night",Spacious Studio Apt By S2L
"₹2,282 night₹2,282 per night",Sunshine Deck - The Mars Room
"₹1,484 night₹1,484 per night",A Lovely  Flat with separate room for comfort stay
"₹1,038 night₹1,038 per night",B- cheerful 1 bed 1 bath with kitchenette studio
"₹3,360 night₹3,360 per night",Tangerine 1 -  Studio Sec42
"₹1,700 night₹1,700 per night",GILMORE STAY'S | PRIVATE ROOM IN 4 BHK |
"₹1,027 night₹1,027 per night",NINE 2 FIVE HOMES
"₹2,459 night₹2,459 per night",2 Private rooms+1 bath in Apartment; Garden access
"₹2,550 night₹2,550 per night","Premium &  Peaceful Studio Room, Cybercity Gurgaon"
"₹1,598 night₹1,598 per night",Cut bed room with free parking
"₹1,258 ₹1,033 night₹1,033 per night, originally ₹1,258",Cozy Room near Aravali Hills
"₹2,293 night₹2,293 per night",Lovely 1 bed room unit with private balcony & bath
"₹5,135 night₹5,135 per night",Lush Green Surrounded Apartment
"₹3,315 night₹3,315 per night",1 luxe bedroom ensuite bath private courtyard
"₹1,400 ₹1,148 night₹1,148 per night, originally ₹1,400",LoomstayPink Boutique DLF-1
"₹2,518 night₹2,518 per night",Safest Villa for female travelers -Nirvana Country
"₹1,183 ₹1,078 night₹1,078 per night, originally ₹1,183",NINE2FIVE HOMES- PREMIUM LONG STAYS.
"₹4,265 night₹4,265 per night",Bed&Oats Super deluxe room no -3
"₹1,598 night₹1,598 per night",Cut bed room with free parking
"₹1,141 night₹1,141 per night",Double bed AC room with private En-suite bathroom
"₹1,335 night₹1,335 per night",Bohemian Duplex Paris Room
"₹2,068 night₹2,068 per night",""" Hey Joey,  It's Phoebe's home <3 """
"₹1,492 ₹1,224 night₹1,224 per night, originally ₹1,492",Stay Happy & lets others stay
"₹1,484 night₹1,484 per night",A Lovely  Flat with separate room for comfort stay
"₹2,847 night₹2,847 per night",Bed&Oats super deluxe room with open shower
"₹1,301 night₹1,301 per night",1Rk/studio/1room with Bathroom
"₹3,004 ₹2,464 night₹2,464 per night, originally ₹3,004",FlxHo Super 4 - Room in an Apt
"₹1,620 night₹1,620 per night",GILMORE STAY'S | PRIVATE ROOM IN 4 BHK |
"₹1,335 night₹1,335 per night",Bohemian Duplex Paris Room
"₹2,282 night₹2,282 per night",Room near Cyber Hub 5 mins away
"₹2,168 night₹2,168 per night",Lovely 1- Bedroom in a 2 BHK Apartment
"₹1,495 night₹1,495 per night",My Mom Paradise - Sector 15 Gurgaon
"₹2,260 night₹2,260 per night",Amahi Inn - Luxury Apartments
"₹2,167 night₹2,167 per night",A spacious room in 3 BHK flat near HUDA metro
"₹1,141 night₹1,141 per night",Guest house Olivia Residency Room 2
"₹3,004 ₹2,464 night₹2,464 per night, originally ₹3,004",FlxHo Super 4 - Room in an Apt
"₹2,847 night₹2,847 per night",Bed&Oats super deluxe room with open shower
"₹6,599 ₹5,279 night₹5,279 per night, originally ₹6,599",2 BHK Serviced Apartment with Bathtub (Perch)
"₹3,449 night₹3,449 per night",Classic Studio apt w balcony near Udhyog Vihar
"₹1,597 night₹1,597 per night","Welcome corporates, Family and couples."
"₹3,224 night₹3,224 per night",Classic Studio Apartment MG Road
"₹1,369 night₹1,369 per night",Cozy room near iffco chowk
"₹1,669 ₹1,369 night₹1,369 per night, originally ₹1,669",Singh's Residency Room 2
"₹1,152 night₹1,152 per night",A - Peaceful 1 Bedroom with Kitchen and Bathroom
"₹1,426 night₹1,426 per night",Serenity
